layer,prompt_id,cosine_similarity,mae,rmse,max_error,drift_pct_01,drift_pct_05,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,relative_diff
4,19,0.9998028,0.0019083698,0.0040019453,0.035600305,0.0,0.0,1.0,1.0,0.9846153846153847,1.0,5.8630924
5,19,0.99984664,0.0016782155,0.0032672822,0.0330168,0.0,0.0,1.0,0.9487179487179487,0.9846153846153847,0.976923076923077,4.8440022
0,20,0.9999659,0.00051129534,0.00116133,0.012984157,0.0,0.0,1.0,0.9791666666666666,1.0,0.99375,1.2785006
1,20,0.9998566,0.0011932481,0.002848395,0.03024435,0.0,0.0,1.0,1.0,0.9875,1.0,5.1500483
2,20,0.9996458,0.0018479914,0.004938652,0.05727929,0.0,0.06510416666666666,1.0,0.9791666666666666,1.0,0.9875,5.2409096
3,20,0.99980986,0.0012825761,0.0037611641,0.052582324,0.0,0.03255208333333333,1.0,1.0,1.0,1.0,5.685249
4,20,0.99973917,0.0017562512,0.0040741926,0.042211026,0.0,0.0,1.0,1.0,0.9375,1.0,6.6665926
5,20,0.99986655,0.0016294232,0.0038180698,0.03879705,0.0,0.0,1.0,0.9791666666666666,0.9875,0.975,7.2355113
0,21,0.99995536,0.00052808394,0.0012556548,0.020086318,0.0,0.0,1.0,1.0,1.0,0.9941176470588234,1.4330916
1,21,0.9998556,0.0010773176,0.002776022,0.038833678,0.0,0.0,1.0,0.980392156862745,0.9882352941176471,1.0,4.5498857
2,21,0.999643,0.0016533266,0.004417789,0.05407971,0.0,0.05767012687427912,1.0,0.980392156862745,0.9882352941176471,0.9941176470588234,4.4413285
3,21,0.99978584,0.0013352581,0.0036785326,0.04919821,0.0,0.0,1.0,1.0,0.9764705882352942,0.9823529411764705,5.6395664
4,21,0.999645,0.0019898156,0.004569367,0.049539506,0.0,0.0,1.0,0.9607843137254901,0.9764705882352942,0.9882352941176471,7.605549
5,21,0.999763,0.0014833263,0.0029077083,0.03842953,0.0,0.0,1.0,0.980392156862745,0.9764705882352942,0.9823529411764705,5.0754976
0,22,0.9999563,0.00068735256,0.0014148653,0.012265146,0.0,0.0,1.0,1.0,1.0,0.9857142857142858,1.4548059
1,22,0.9998669,0.0011812777,0.0028583773,0.027834296,0.0,0.0,1.0,1.0,0.9857142857142858,1.0,4.3157735
2,22,0.9997654,0.0015702858,0.003901388,0.051008075,0.0,0.04251700680272109,1.0,1.0,0.9571428571428572,0.9928571428571429,3.8879945
3,22,0.9997255,0.0017503847,0.004746074,0.050225616,0.0,0.04251700680272109,1.0,0.9761904761904762,0.9714285714285714,0.9785714285714286,5.9818306
4,22,0.9998251,0.001707909,0.0036522704,0.03779325,0.0,0.0,1.0,1.0,0.9571428571428572,0.9928571428571429,5.8019257
5,22,0.999855,0.0014690267,0.0033191664,0.039615184,0.0,0.0,1.0,1.0,0.9857142857142858,0.9928571428571429,4.2363834
0,23,0.99996173,0.00051288516,0.0011659851,0.01329875,0.0,0.0,1.0,0.980392156862745,1.0,1.0,1.3892802
1,23,0.9998597,0.0010194187,0.0025933832,0.044202477,0.0,0.0,1.0,0.9607843137254901,0.9882352941176471,0.9941176470588234,4.2977657
2,23,0.99976844,0.0013081244,0.0034127147,0.054991663,0.0,0.02883506343713956,1.0,1.0,1.0,1.0,4.3985987
3,23,0.9998086,0.0014386282,0.0035689943,0.041354597,0.0,0.0,1.0,1.0,0.9764705882352942,0.9823529411764705,6.365566
4,23,0.9997998,0.0015449852,0.0034756868,0.044430017,0.0,0.0,1.0,0.980392156862745,0.9882352941176471,0.9823529411764705,6.154044
5,23,0.99974114,0.0015299657,0.003029271,0.025023192,0.0,0.0,1.0,1.0,0.9882352941176471,0.9764705882352942,3.9905493
0,24,0.9999638,0.0005851394,0.0012860865,0.016040266,0.0,0.0,1.0,1.0,1.0,1.0,1.4026603
1,24,0.9998795,0.0011521825,0.0027206482,0.033850312,0.0,0.0,0.9285714285714286,0.9761904761904762,1.0,1.0,4.0377283
2,24,0.9998452,0.0014040554,0.0032167062,0.029292107,0.0,0.0,1.0,0.9761904761904762,1.0,0.9928571428571429,4.119763
3,24,0.99976426,0.0017022452,0.0043922574,0.04576683,0.0,0.0,1.0,1.0,0.9857142857142858,1.0,5.6796255
4,24,0.99974936,0.0020807981,0.0045758514,0.038718224,0.0,0.0,1.0,0.9523809523809523,0.9714285714285714,0.9714285714285715,7.551106
