layer,prompt_id,cosine_similarity,mae,rmse,max_error,drift_pct_01,drift_pct_05,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,relative_diff
0,3,0.99999195,0.000580855,0.001277323,0.00829947,0.0,0.0,1.0,1.0,1.0,0.6,0.48458633
1,3,0.99987304,0.0023537893,0.0052189664,0.038112998,0.0,0.0,1.0,1.0,1.0,0.6,1.7898722
2,3,0.99896973,0.006671868,0.014666661,0.09775958,0.0,2.314814814814815,1.0,0.9444444444444443,1.0,0.6,4.349083
3,3,0.9980116,0.008574189,0.021371355,0.13275817,1.3888888888888888,4.62962962962963,1.0,1.0,1.0,0.6,6.751288
4,3,0.99935126,0.005175584,0.012643999,0.06907421,0.0,2.083333333333333,1.0,1.0,1.0,0.6,7.3066006
5,3,0.9995032,0.004332376,0.011247208,0.103495106,0.23148148148148145,0.9259259259259258,1.0,1.0,1.0,0.6,4.8052983
6,3,0.9997587,0.0033670056,0.00792859,0.056512207,0.0,0.23148148148148145,1.0,0.9444444444444445,1.0,0.6,3.9995902
7,3,0.99987507,0.002476051,0.005882473,0.041122913,0.0,0.0,1.0,1.0,1.0,0.6,4.743939
8,3,0.999823,0.0027098665,0.0067744027,0.05886358,0.0,0.23148148148148145,1.0,1.0,1.0,0.6,3.383486
9,3,0.999765,0.003046613,0.008065654,0.07804024,0.0,0.4629629629629629,1.0,1.0,1.0,0.6,4.7962003
10,3,0.9999011,0.001966736,0.0053852773,0.044799984,0.0,0.0,1.0,1.0,1.0,0.6,3.5129542
11,3,0.99987507,0.0023293244,0.005849315,0.048226297,0.0,0.0,1.0,1.0,1.0,0.6,2.7600489
0,4,0.99999106,0.000738569,0.0015195876,0.0065959096,0.0,0.0,1.0,1.0,1.0,0.5,0.49008387
1,4,0.99991924,0.002412495,0.004570546,0.021872878,0.0,0.0,1.0,1.0,1.0,0.5,1.3692245
2,4,0.99942887,0.0060049193,0.012483085,0.07037105,0.0,1.0,1.0,1.0,1.0,0.5,3.8315864
3,4,0.999475,0.0052177855,0.012243212,0.07346824,0.0,2.0,1.0,1.0,1.0,0.5,3.7486217
4,4,0.99948114,0.0054100854,0.012701895,0.07737428,0.0,1.3333333333333335,1.0,1.0,1.0,0.5,5.615988
5,4,0.9997373,0.004088784,0.009245643,0.042360842,0.0,0.0,1.0,1.0,1.0,0.5,4.6903124
6,4,0.9998291,0.003137957,0.0074800826,0.05581051,0.0,0.6666666666666667,1.0,1.0,1.0,0.5,4.135123
7,4,0.99988747,0.00225684,0.0062420447,0.051509023,0.0,0.33333333333333337,1.0,1.0,1.0,0.5,3.8657653
8,4,0.99987984,0.0030620024,0.006047328,0.034982443,0.0,0.0,1.0,1.0,1.0,0.5,2.7039566
9,4,0.99986076,0.0023295074,0.0069388915,0.046981215,0.0,0.0,1.0,1.0,1.0,0.5,3.5647933
10,4,0.99989796,0.0022830523,0.0058730547,0.042983055,0.0,0.0,1.0,0.9333333333333333,1.0,0.5,3.2806497
11,4,0.999945,0.002077125,0.004038347,0.018118143,0.0,0.0,1.0,1.0,1.0,0.5,1.8502427
0,5,0.999989,0.0008009734,0.0017438529,0.009658664,0.0,0.0,1.0,1.0,1.0,0.5,0.69370854
1,5,0.9999572,0.0016669302,0.0033989863,0.022407055,0.0,0.0,1.0,0.9333333333333332,1.0,0.5,1.1566223
2,5,0.9995641,0.004775146,0.01093325,0.058193997,0.0,1.3333333333333335,1.0,1.0,1.0,0.5,2.867316
3,5,0.99817014,0.010083536,0.023479307,0.10421112,0.6666666666666667,8.0,1.0,0.8666666666666666,1.0,0.5,6.419774
4,5,0.9996025,0.0046589207,0.011277444,0.069233805,0.0,1.3333333333333335,1.0,1.0,1.0,0.5,5.7923326
5,5,0.9998358,0.0028320283,0.0073164487,0.05206704,0.0,0.33333333333333337,1.0,1.0,1.0,0.5,3.5473373
6,5,0.9998923,0.002814029,0.0060118292,0.03272432,0.0,0.0,1.0,1.0,1.0,0.5,3.8089118
7,5,0.99994385,0.001871998,0.004489567,0.028509617,0.0,0.0,1.0,1.0,1.0,0.5,4.495554
8,5,0.9999368,0.0019597034,0.004674235,0.030403823,0.0,0.0,1.0,1.0,1.0,0.5,3.1045787
9,5,0.99997056,0.0013356616,0.0032439088,0.020800166,0.0,0.0,1.0,1.0,1.0,0.5,2.8849611
