layer,cosine_similarity_mean,cosine_similarity_std,mae_mean,mae_std,top_5_overlap_mean,top_5_overlap_std
0,1.0,0.0,0.0007,0.0005,0.997,0.0054
1,0.9999,0.0,0.0012,0.0006,0.9902,0.0123
2,0.9998,1e-04,0.0015,0.0006,0.9868,0.0154
3,0.9998,1e-04,0.0015,0.0007,0.9841,0.0146
4,0.9997,1e-04,0.002,0.001,0.9795,0.0162
5,0.9998,1e-04,0.0018,0.001,0.9831,0.0154
